Supplier Name,Invoice Number,Part Number,Cost,Purchase Date
Supplier X,001-1001,2341,500.00,2014-01-20
Supplier X,001-1001,2341,500.00,2014-01-20
Supplier X,001-1001,5467,750.00,2014-01-20
Supplier X,001-1001,5467,750.00,2014-01-20
Supplier Y,50-9501,7009,250.00,2014-01-30
Supplier Y,50-9501,7009,250.00,2014-01-30
Supplier Y,50-9505,6650,125.00,2014-02-03
Supplier Y,50-9505,6650,125.00,2014-02-03
Supplier Z,920-4803,3321,615.00,2014-02-03
Supplier Z,920-4804,3321,615.00,2014-02-10
Supplier Z,920-4805,3321,615.00,2014-02-17
Supplier Z,920-4806,3321,615.00,2014-02-24
